"Date","Sales USD"
"2020-04-04",4315.67
"2020-04-05",715.15
"2020-04-06",1797.3
"2020-04-07",4301.87
"2020-04-08",5134.01
"2020-04-09",1172.11
"2020-04-10",702.73
"2020-04-11",3706.05
"2020-04-12",4055.23
"2020-04-13",1170.58
"2020-04-14",2418.73
"2020-04-15",10821.01
"2020-04-16",2784.21
"2020-04-17",1515.37
"2020-04-18",10349.81
"2020-04-19",7420.46
"2020-04-20",5158.26
"2020-04-21",5284.57
"2020-04-22",1982.42
"2020-04-23",4340.79
"2020-04-24",4913.4
"2020-04-25",6191.81
"2020-04-26",12274.1
"2020-04-27",12242.92
"2020-04-28",4145.31
"2020-04-29",14418.49
"2020-04-30",2344.12
"2020-05-01",1411.16
"2020-05-02",3186.98
"2020-05-03",5224.94
"2020-05-04",2951.64
"2020-05-05",3106.23
"2020-05-06",2032.35
"2020-05-07",2151.16
"2020-05-08",1253.15
"2020-05-09",1109.33
"2020-05-10",616.65
"2020-05-11",3507.47
"2020-05-12",1252.25
"2020-05-13",1651.5
"2020-05-14",550.51
"2020-05-15",2904.53
"2020-05-16",2178.15
"2020-05-17",3145.89
"2020-05-18",1993.64
"2020-05-19",1745.03
"2020-05-20",1434.3
"2020-05-21",722.16
"2020-05-22",1302.81
"2020-05-23",2376.92
"2020-05-24",4924.29
"2020-05-25",7520.28
"2020-05-26",1492.33
"2020-05-27",4177.21
"2020-05-28",1822.87
"2020-05-29",986.28
"2020-05-30",2277.57
"2020-05-31",1174.23
"2020-06-01",3168.09
"2020-06-02",2059.27
"2020-06-03",3042.6
"2020-06-04",1673.08
"2020-06-05",865
"2020-06-06",3165.75
"2020-06-07",2516.9
"2020-06-08",1328.61
"2020-06-09",709.43
"2020-06-10",7098.04
"2020-06-11",4287.51
"2020-06-12",5325.71
"2020-06-13",755.66
"2020-06-14",760.05
"2020-06-15",541.36
"2020-06-16",2926.63
"2020-06-17",1924.46
"2020-06-18",3661.36
"2020-06-19",4168.45
"2020-06-20",1035.17
"2020-06-21",2223.85
"2020-06-22",4385.86
"2020-06-23",2008.45
"2020-06-24",1270.1
"2020-06-25",3786.43
"2020-06-26",5503.32
"2020-06-27",775.38
"2020-06-28",11452.64
"2020-06-29",3191.73
"2020-06-30",3574.06
"2020-07-01",4196.95
"2020-07-02",3014.69
"2020-07-03",1566.67
"2020-07-04",1210.75
"2020-07-05",1770.3
"2020-07-06",9234.22
"2020-07-07",1531.65
"2020-07-08",4828.12
"2020-07-09",1141.59
"2020-07-10",6295.13
"2020-07-11",1335.28
"2020-07-12",2965.23
"2020-07-13",3480.99
"2020-07-14",2451
"2020-07-15",869.9
"2020-07-16",1213.2
"2020-07-17",2182.99
"2020-07-18",2581.05
"2020-07-19",685.16
"2020-07-20",1893.18
"2020-07-21",11589.08
"2020-07-22",2510.16
"2020-07-23",1163.34
"2020-07-24",7544.17
"2020-07-25",786.72
"2020-07-26",9622.24
"2020-07-27",14771.16
"2020-07-28",6645.21
"2020-07-29",1940.63
"2020-07-30",2007.43
"2020-07-31",2069.43
"2020-08-01",3615.38
"2020-08-02",98031.27
"2020-08-03",33233.9
"2020-08-04",8592.07
"2020-08-05",14333.58
"2020-08-06",7996.2
"2020-08-07",13349.06
"2020-08-08",8092.05
"2020-08-09",4541.32
"2020-08-10",3037.3
"2020-08-11",7098.79
"2020-08-12",2274.59
"2020-08-13",3680.97
"2020-08-14",1851.96
"2020-08-15",10114.59
"2020-08-16",12340.37
"2020-08-17",5201.07
"2020-08-18",5656.24
"2020-08-19",10036.4
"2020-08-20",15451.45
"2020-08-21",3709.49
"2020-08-22",7356.66
"2020-08-23",10144.67
"2020-08-24",17474.96
"2020-08-25",14269.51
"2020-08-26",29964.66
"2020-08-27",22762.13
"2020-08-28",113163.05
"2020-08-29",56660.75
"2020-08-30",22996.96
"2020-08-31",25211.47
"2020-09-01",6005.54
"2020-09-02",11640.94
"2020-09-03",21747.82
"2020-09-04",35996.9
"2020-09-05",4843.51
"2020-09-06",18928.97
"2020-09-07",29197.84
"2020-09-08",12468.88
"2020-09-09",20438.96
"2020-09-10",10943.57
"2020-09-11",20654.42
"2020-09-12",5985.82
"2020-09-13",4988.31
"2020-09-14",22531.38
"2020-09-15",9755.53
"2020-09-16",4039.95
"2020-09-17",2893.19
"2020-09-18",21973.18
"2020-09-19",6378.98
"2020-09-20",6800.75
"2020-09-21",9293.5
"2020-09-22",24859.68
"2020-09-23",5691.53
"2020-09-24",6018.07
"2020-09-25",4900.71
"2020-09-26",7628.18
"2020-09-27",4988.33
"2020-09-28",7630.19
"2020-09-29",6162.28
"2020-09-30",2497.83
"2020-10-01",7937.27
"2020-10-02",12269.62
"2020-10-03",4366.48
"2020-10-04",6985.85
"2020-10-05",13192.27
"2020-10-06",23399.35
"2020-10-07",12035.9
"2020-10-08",33272.27
"2020-10-09",8770.43
"2020-10-10",7984.45
"2020-10-11",8050.69
"2020-10-12",7821.56
"2020-10-13",6771.58
"2020-10-14",27786.22
"2020-10-15",17470.68
"2020-10-16",13399.17
"2020-10-17",9239.23
"2020-10-18",18896.27
"2020-10-19",13794.96
"2020-10-20",2333.16
"2020-10-21",1854.37
"2020-10-22",5514.79
