"Date","Number of Sales (7-day)"
"2021-08-03",5711
"2021-08-04",5660
"2021-08-05",5639
"2021-08-06",5996
"2021-08-07",6140
"2021-08-08",6356
"2021-08-09",6179
"2021-08-10",6201
"2021-08-11",6283
"2021-08-12",6467
"2021-08-13",6569
"2021-08-14",6816
"2021-08-15",6850
"2021-08-16",6708
"2021-08-17",6573
"2021-08-18",6802
"2021-08-19",7374
"2021-08-20",8422
"2021-08-21",8579
"2021-08-22",8964
"2021-08-23",9241
"2021-08-24",9984
"2021-08-25",12112
"2021-08-26",12987
"2021-08-27",12473
"2021-08-28",13042
"2021-08-29",13194
"2021-08-30",13585
"2021-08-31",13345
"2021-09-01",11084
"2021-09-02",9935
"2021-09-03",10057
"2021-09-04",9734
"2021-09-05",9923
"2021-09-06",9471
"2021-09-07",8944
"2021-09-08",8851
"2021-09-09",8512
"2021-09-10",7948
"2021-09-11",7964
"2021-09-12",7610
"2021-09-13",7831
"2021-09-14",8607
"2021-09-15",8914
"2021-09-16",9018
"2021-09-17",9020
"2021-09-18",8986
"2021-09-19",9077
"2021-09-20",9134
"2021-09-21",8505
"2021-09-22",8804
"2021-09-23",8981
"2021-09-24",9133
"2021-09-25",10033
"2021-09-26",10014
"2021-09-27",9930
"2021-09-28",10267
"2021-09-29",9958
"2021-09-30",9642
"2021-10-01",9388
"2021-10-02",8216
"2021-10-03",7961
"2021-10-04",7574
"2021-10-05",7257
"2021-10-06",6710
"2021-10-07",6440
"2021-10-08",6297
"2021-10-09",7097
"2021-10-10",7434
"2021-10-11",7696
"2021-10-12",8300
"2021-10-13",8990
"2021-10-14",9373
"2021-10-15",9314
"2021-10-16",8546
"2021-10-17",8287
"2021-10-18",8383
"2021-10-19",8312
"2021-10-20",7973
"2021-10-21",7802
"2021-10-22",7794
"2021-10-23",7908
"2021-10-24",7458
"2021-10-25",7234
"2021-10-26",6456
"2021-10-27",5829
"2021-10-28",5532
"2021-10-29",5327
"2021-10-30",4544
"2021-10-31",4173
"2021-11-01",3764
"2021-11-02",4578
"2021-11-03",5705
"2021-11-04",6341
"2021-11-05",6805
"2021-11-06",7716
"2021-11-07",8772
"2021-11-08",10527
"2021-11-09",16349
"2021-11-10",22186
"2021-11-11",26857
"2021-11-12",30068
"2021-11-13",33173
"2021-11-14",36401
"2021-11-15",37944
"2021-11-16",33867
"2021-11-17",30067
"2021-11-18",27744
"2021-11-19",27635
"2021-11-20",26725
"2021-11-21",25140
"2021-11-22",23284
"2021-11-23",22477
"2021-11-24",21117
"2021-11-25",19829
"2021-11-26",17930
"2021-11-27",16994
"2021-11-28",16299
"2021-11-29",17104
"2021-11-30",18003
"2021-12-01",18494
"2021-12-02",19341
